"Date","Total Kasus","Meninggal","Sembuh","Aktif","Kasus Baru"
"Mar 16, 2020",134,5,8,121,17
"Mar 17, 2020",172,7,9,156,38
"Mar 18, 2020",227,19,11,197,55
"Mar 19, 2020",309,25,15,269,82
"Mar 20, 2020",369,32,16,321,60
"Mar 21, 2020",450,38,20,392,81
"Mar 22, 2020",514,48,29,437,64
"Mar 23, 2020",579,49,30,500,65
"Mar 24, 2020",685,55,30,600,106
"Mar 25, 2020",790,58,31,701,105
"Mar 26, 2020",893,78,35,780,103
"Mar 27, 2020",1046,87,46,913,153
"Mar 28, 2020",1155,102,59,994,109
"Mar 29, 2020",1285,114,64,1107,130
"Mar 30, 2020",1414,122,75,1217,129
"Mar 31, 2020",1528,136,81,1311,114
"Apr 1, 2020",1677,157,103,1417,149
"Apr 2, 2020",1790,170,112,1508,113
"Apr 3, 2020",1986,181,134,1671,196
"Apr 4, 2020",2092,191,150,1751,106
"Apr 5, 2020",2273,198,164,1911,181
"Apr 6, 2020",2491,209,192,2090,218
"Apr 7, 2020",2738,221,204,2313,247
"Apr 8, 2020",2956,240,222,2494,218
"Apr 9, 2020",3293,280,252,2761,337
"Apr 10, 2020",3512,306,282,2924,219
"Apr 11, 2020",3842,327,286,3229,330
"Apr 12, 2020",4241,373,359,3509,399
"Apr 13, 2020",4557,399,380,3778,316
"Apr 14, 2020",4839,459,426,3954,282
"Apr 15, 2020",5136,469,446,4221,297
"Apr 16, 2020",5516,496,548,4472,380
"Apr 17, 2020",5923,520,607,4796,407
"Apr 18, 2020",6248,535,631,5082,325
"Apr 19, 2020",6575,582,686,5307,327
"Apr 20, 2020",6760,590,746,5424,185
"Apr 21, 2020",7135,616,842,5677,375
"Apr 22, 2020",7418,635,913,5870,283
"Apr 23, 2020",7775,647,960,6168,357
"Apr 24, 2020",8211,689,1002,6520,436
"Apr 25, 2020",8607,720,1042,6845,396
"Apr 26, 2020",8882,743,1107,7032,275
"Apr 27, 2020",9096,765,1151,7180,214
"Apr 28, 2020",9511,773,1254,7484,415
"Apr 29, 2020",9771,784,1391,7596,260
"Apr 30, 2020",10118,792,1522,7804,347
"May 1, 2020",10551,800,1591,8160,433
"May 2, 2020",10843,831,1665,8347,292
"May 3, 2020",11192,845,1876,8471,349
"May 4, 2020",11587,864,1954,8769,395
"May 5, 2020",12071,872,2197,9002,484
"May 6, 2020",12438,895,2317,9226,367
"May 7, 2020",12776,930,2381,9465,338
"May 8, 2020",13112,943,2494,9675,336
"May 9, 2020",13645,959,2607,10079,533
"May 10, 2020",14032,973,2698,10361,387
"May 11, 2020",14265,991,2881,10393,233
"May 12, 2020",14749,1007,3063,10679,484
